"chain","project","symbol","tvlUsd","apyBase","apyReward","apy","rewardTokens","pool","apyPct1D","apyPct7D","apyPct30D","stablecoin","ilRisk","exposure","predictions","poolMeta","mu","sigma","count","outlier","underlyingTokens","il7d","apyBase7d","apyMean30d","volumeUsd1d","volumeUsd7d","apyBaseInception"
"Aptos","aries-markets","APT",18703823,2.39923,,2.39923,,"68055561-93ff-4919-b847-fe1dbe5824ad",0.0138,-0.17687,1.03518,false,"no","single","{""predictedClass"":""Down"",""predictedProbability"":68,""binnedConfidence"":2}",,1.60952,0.03677,396,false,,,,2.00137,,,
"Aptos","cellana-finance","USDC-USDC",63714,0,2.19097,2.19097,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","35ae513b-fb55-4efc-8e57-94feddc4bd31",-0.08366,1.60648,,true,"no","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":56.99999999999999,""binnedConfidence"":1}",,10.81867,0.35407,101,false,,,,1.6444,,,
"Aptos","cellana-finance","STAPT-USDC",11986,0,2.01502,2.01502,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","99e13350-ed54-49c2-9c56-5e3d8bbf5639",-0.04605,-22.96528,-0.52615,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":75,""binnedConfidence"":2}",,22.53236,0.82623,357,false,,,,19.24343,,,
"Aptos","thalaswap","ABTC-WBTC",341330,1.93122,0,1.93122,"[]","2a455a83-63ae-4fb0-8298-0ceb93c1ddf5",-0.08915,,,false,"no","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,2.57768,0.0468,2,false,"[""0x4e1854f6d332c9525e258fb6e66f84b6af8aba687bbcb832a24768c4e175feec::abtc::ABTC"",""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::WBTC""]",,,2.39979,,,
"Aptos","cellana-finance","MKL-APT",75101,0,1.78049,1.78049,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","f3a84cf6-fb6f-4cea-a798-3aa4f99a59eb",-0.01508,0.18716,-0.51872,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":65,""binnedConfidence"":2}",,3.5343,0.17605,59,false,,,,4.11021,,,
"Aptos","thalaswap","MOD-THL",2781039,0.30513,1.32794,1.63308,"[""0xfaf4e633ae9eb31366c9ca24214231760926576c7b625313b3688b5e900731f6::staking::ThalaAPT""]","a3bc736c-fcfc-4460-bce9-183029abd59a",-0.46221,,,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":83,""binnedConfidence"":3}",,23.38821,0.59089,110,false,"[""0x6f986d146e4a90b828d8c12c14b6f4e003fdff11a8eecceceb63744363eaac01::mod_coin::MOD"",""0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615::thl_coin::THL""]",,,1.88794,,,
"Aptos","thalaswap","AMAPT-APT",4857318,1.36772,0,1.36772,"[]","ac4cb4ea-4c9a-43bd-b782-92bb26c8efce",1.01046,,,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":99,""binnedConfidence"":3}",,3.94378,0.19301,68,false,"[""0x111ae3e5bc816a5e63c2da97d0aa3886519e0cd5e4b046659fa35796bd11542a::amapt_token::AmnisApt"",""0x1::aptos_coin::AptosCoin""]",,,1.11388,,,
"Aptos","meso-finance","ZWETH",1138488,0.00028,1.33138,1.33166,"[""0x1::aptos_coin::AptosCoin""]","b32138a1-4eb3-4d89-a772-1215c835bbd5",-0.03196,-0.07365,-2.12001,false,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":91,""binnedConfidence"":3}",,7.89815,0.22763,191,false,,,,1.42508,,,
"Aptos","thalaswap-v2","USDC-USDC",2703653,1.1799,0,1.1799,"[]","040aff81-f97e-48c8-a6f5-026ab97d75ab",-0.98893,,,true,"no","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,1.40974,0.0168,2,false,"[""0x2b3be0a97a73c87ff62cbdd36837a9fb5bbd1d7f06a73b7ed62ec15c5326c1b8"",""0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b""]",,,1.66647,,,
"Aptos","echelon-market","ZWETH",274039,1.16752,0,1.16752,"[]","ddb723c7-e649-4a39-9aa2-d86b0bb6e65d",0.65749,,,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,2.29765,0.08224,2,false,"[""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::WETH""]",,,1.288,,,
